objectid,title,neighborhood,location,address,city,state,zip_code,type,subject,datebuilt_architect,date,latitude,longitude,architect,object_location,image
AAHS_36,Berean Presbyterian Church / Bethlehem Presbyterian Church,North,North,2101 N. Broad St.,Philadelphia,PA,19122,church,church,"1888, T. P. Chandler; alterations, 1909, 1910, 1915, J. Franklin Stuckert",1888;1909;1910;1915,39.9444019,-75.1787656,T. P. Chandler;J. Franklin Stuckert,,
AAHS_401,Universal Negro Improvement Association (UNIA),North,North,1609-11 Cecil B. Moore Ave.,Philadelphia,PA,19121,,,"ca. 1894, Thomas Lonsdale",1894,39.979375,-75.161489,Thomas Lonsdale,,
AAHS_149,Girard College,North,North,2101 S. College Ave.,Philadelphia,PA,19121,school,school,"1833, Thomas Ustick Walter; 1968",1833,39.972627,-75.173802,Thomas Ustick Walter,,
AAHS_389,Union A.M.E. Church / Hedding M. E. Church / Calvary Baptist Church,North,North,655 N. 16th St.,Philadelphia,PA,19130,church,church,"before 1859; alterations, 1902, Watson & Huckel; alterations, 1906, C. Davis",1859;1902;1906,39.966666,-75.163569,Watson & Huckel;C. Davis,,
AAHS_399,Unity Mission / Charles T. Ellis House,North,North,1430 N. Broad St.,Philadelphia,PA,19121,dwelling,dwelling,"ca. 1891, William Decker",1891,39.975493,-75.15912,William Decker,,
AAHS_233,Metropolitan Opera House,North,North,848-860 N. Broad St.,Philadelphia,PA,19130,"opera house, church","opera house, church","1908, William McElfatrick",1908,40.010581,-75.150898,William McElfatrick,,
AAHS_331,Shibe Park / Connie Mack Stadium,North,North,2701 N. 21st St.,Philadelphia,PA,19132,stadium,stadium,"1908-1909, William Steele & Sons Co.; numerous alterations; demolished 1976",1908;1909;1976,39.983256,-75.168608,William Steele & Sons Co.,,
AAHS_84,Divine Lorraine Hotel,North,North,699 N. Broad St.,Philadelphia,PA,19123,"hotel, apartment building","hotel, apartment building","1894, Willis G. Hale",1894,37.801124,-122.428063,Willis G. Hale,,
AAHS_40,Bethany A.M.E. Church,Northeast,Northeast,8820 Ashton Rd.,Philadelphia,PA,19136,church,church,"early 19th century; Elias Chase, builder",1900s,40.0421776,-75.1795724,"Elias Chase, builder",,
AAHS_29,Beneficial Savings Bank (Kensington Branch),Northeast,Northeast,826 E. Allegheny Ave.,Philadelphia,PA,19134,bank,bank,"ca. 1923, Horace Trumbauer (Julian Abele)",1923,29.5792378,-95.7660489,Horace Trumbauer (Julian Abele),,
AAHS_108,Episcopal Hospital / Temple University Hospital Episcopal Campus,Northeast,Northeast,100 E. Lehigh Ave.,Philadelphia,PA,19125,hospital,hospital,"ca. 1933, Horace Trumbauer (Julian Abele)",1933,39.989821,-75.129209,Horace Trumbauer (Julian Abele),,
AAHS_190,James Grady House,Northeast,Northeast,4615 Aubrey St.,Philadelphia,PA,19114,dwelling,dwelling,"ca. 1948, James Plater",1948,39.990821,-75.168428,James Plater,,
AAHS_425,Wilmot Public School,Northeast,Northeast,1734 Meadow St.,Philadelphia,PA,19124,school,school,"1874, Lewis Esler",1874,40.014491,-75.081739,Lewis Esler,,
AAHS_159,Greenbelt Knoll,Northeast,Northeast,Longford St. and Holme Ave.,Philadelphia,PA,19136,housing development,housing development,"1956, Montgomery & Bishop",1956,39.990821,-75.168428,Montgomery & Bishop,,
AAHS_253,Mount Zion Baptist Church Building,Northeast,Northeast,8101 Erdrick St.,Philadelphia,PA,19136,church,church,"1923, Neely & Martin; 1972, architect unknown",1923;1972,40.040946,-75.02443,Neely & Martin;,,
AAHS_328,Second Baptist Church (Frankford),Northeast,Northeast,1801 Meadow St.,Philadelphia,PA,19124,church,church,"ca. 1910; enlarged in 1923, William L. Charr",1910;1923,40.013654,-75.080048,William L. Charr,,
AAHS_340,St. Catherine of Sienna,Northwest,Northwest,438-444 W. Penn St.,Philadelphia,PA,19144,church,church,"ca. 1915, C. Cummiskey",1915,40.017135,-75.186643,C. Cummiskey,http://www.preservationalliance.com/images/aia/432-44WPenn.jpg,http://www.preservationalliance.com/images/aia/432-44WPenn.jpg
AAHS_192,Janes Methodist Church Building,Northwest,Northwest,47-51 E. Haines St.,Philadelphia,PA,19144,church,church,"1928, Charles Parker",1928,40.03953,-75.176116,Charles Parker,http://www.preservationalliance.com/images/aia/47-51EHaines.jpg,http://www.preservationalliance.com/images/aia/47-51EHaines.jpg
AAHS_106,Enon Tabernacle Baptist Church Building,Northwest,Northwest,230 W. Coulter St.,Philadelphia,PA,19144,church,church,"1914, Charles Wilson",1914,40.028369,-75.17521,Charles Wilson,http://www.preservationalliance.com/images/aia/230WCoulter.jpg,http://www.preservationalliance.com/images/aia/230WCoulter.jpg
AAHS_254,Mount Zion Baptist Church of Germantown,Northwest,Northwest,41 W. Rittenhouse St.,Philadelphia,PA,19144,church,church,"1894, David S. Gendell",1894,40.035435,-75.17882,David S. Gendell,http://www.preservationalliance.com/images/aia/41WRittenhouse.jpg,http://www.preservationalliance.com/images/aia/41WRittenhouse.jpg
AAHS_140,Germantown Historical Society / Fromberger House,Northwest,Northwest,5501-5505 Germantown Ave.,Philadelphia,PA,19144,"dwelling, young women's christian association, church, office building","dwelling, young women's christian association, church, office building","ca. 1795-96; enlarged 1917; renovated after fire, 1930; rehabbed, 1952-54, G. Edwin",1795;1796;1917;1930; 1952;1954,39.973054,-75.141599,G. Edwin,http://www.preservationalliance.com/images/aia/5501Germantown.jpg,http://www.preservationalliance.com/images/aia/5501Germantown.jpg
AAHS_265,Northern Home for Children,Northwest,Northwest,5301 Ridge Ave.,Philadelphia,PA,19128,,,"alterations, 1927, Horace Trumbauer (Julian Abele)",1927,40.021044,-75.208578,Horace Trumbauer (Julian Abele),,
AAHS_152,Grace Baptist Church Building #1,Northwest,Northwest,34-36 E. Sharpnack St.,Philadelphia,PA,19119,church,church,"1908, Jacob Naschold",1908,40.049813,-75.183061,Jacob Naschold,http://www.preservationalliance.com/images/aia/34-6ESharpnack.jpg,http://www.preservationalliance.com/images/aia/34-6ESharpnack.jpg
AAHS_77,Coulter Street School site / Daniel L. Keyser School / Wissahickon Boys and Girls Club,Northwest,Northwest,328 W. Coulter St.,Philadelphia,PA,19144,school,school,"ca. 1887-1899, Joseph Anshutz",1887;1899,39.993189,-75.106902,Joseph Anshutz,http://www.preservationalliance.com/images/aia/328WCoulter.jpg,http://www.preservationalliance.com/images/aia/328WCoulter.jpg
AAHS_135,Galilee Baptist Church Building,Northwest,Northwest,457 Roxborough Ave.,Philadelphia,PA,19128,church,church,"1900, Kennedy & Kelsey",1900,40.028745,-75.213417,Kennedy & Kelsey,,
AAHS_380,Thomas Meehan Public School,Northwest,Northwest,5347-5353 Pulaski Ave.,Philadelphia,PA,19144,school,school,"1901, Lloyd Titus",1901,40.032722,-75.182942,Lloyd Titus,http://www.preservationalliance.com/images/aia/5347Pulaski.jpg,http://www.preservationalliance.com/images/aia/5347Pulaski.jpg
AAHS_153,Grace Baptist Church Building #2,Northwest,Northwest,25 W. Johnson St.,Philadelphia,PA,19144,church,church,"late 1960s, Mansell, McGettigan & Fugate",1960s,40.037799,-75.190539,"Mansell, McGettigan & Fugate",http://www.preservationalliance.com/images/aia/25WJohnson.jpg,http://www.preservationalliance.com/images/aia/25WJohnson.jpg
AAHS_56,Canaan Baptist Church Building / West Side Presbyterian Church Building,Northwest,Northwest,5430 Pulaski Ave.,Philadelphia,PA,19144,church,church,"1891, Mantle Fielding",1891,39.822719,-84.8706574,Mantle Fielding,http://www.preservationalliance.com/images/aia/5430Pulaski.jpg,http://www.preservationalliance.com/images/aia/5430Pulaski.jpg
AAHS_193,Janes Methodist Church Building,Northwest,Northwest,528 E. Haines St.,Philadelphia,PA,19144,church,church,"ca. 1898 or 1911, Rankin and Kellogg",1898;1911,40.04493,-75.169789,Rankin and Kellogg,http://www.preservationalliance.com/images/aia/528EHaines.jpg,http://www.preservationalliance.com/images/aia/528EHaines.jpg
AAHS_144,Germantown YMCA,Northwest,Northwest,5722 Greene St.,Philadelphia,PA,19144,young men's Christian association,young men's Christian association,"1928, Thomas, Martin & Kirkpatrick",1928,40.034007,-75.177817,"Thomas, Martin & Kirkpatrick",http://www.preservationalliance.com/images/aia/5722Greene.jpg,http://www.preservationalliance.com/images/aia/5722Greene.jpg
AAHS_42,Bethel A.M.E. Church (Germantown) Building #2 / Rialto Theater Building / Tulpehocken Theater Building,Northwest,Northwest,6153 Germantown Ave.,Philadelphia,PA,19144,church,church,"1914, architect unknown; alterations, William H. Lee, c. 1936; alterations c.1976",1914;1936;1976,39.943066,-75.151993,William H. Lee,http://www.preservationalliance.com/images/aia/6153Germantown.jpg,http://www.preservationalliance.com/images/aia/6153Germantown.jpg
AAHS_23,Bainbridge Club / Hotel Brotherhood USA,South,South,1523-1529 Bainbridge St.,Philadelphia,PA,19146,clubhouse,clubhouse,"ca. 1919, A. Borzner",1919,39.9939785,-75.1545321,A. Borzner,,
AAHS_150,Gloria Dei Church / Old Swedes' Episcopal Church,South,South,916 S. Swanson St.,Philadelphia,PA,19147,church,church,"1677-1698, Andrew Rudman; alterations, 1703-1705, ca. 1733, 1845; alterations, 1896, George Champlin Mason, Jr.",1677;1698;1703;1705;1733;1845;1896,39.916921,-75.146962,"Andrew Rudman;George Champlin Mason, Jr.",,
AAHS_102,Elks Lodge,South,South,739-43 S. 16th St.,Philadelphia,PA,19146,,,"ca. 1928, C. Adams",1928,39.942034,-75.168896,C. Adams,,
AAHS_391,Union Baptist Church Building #2,South,South,1910 Fitzwater St.,Philadelphia,PA,19146,church,church,"1913, Charles Bolton & Son; alterations, 1926, Charles Bolton & Son",1913;1926,39.942723,-75.174563,Charles Bolton & Son;Charles Bolton & Son,,
AAHS_341,St. Charles Borromeo Church,South,South,1941 Christian St.,Philadelphia,PA,19146,church,church,"1876, Edwin Forrest Durang",1876,39.941299,-75.175457,Edwin Forrest Durang,http://www.preservationalliance.com/images/aia/1941ChristianSt.jpg,http://www.preservationalliance.com/images/aia/1941ChristianSt.jpg
AAHS_174,Holy Trinity Baptist Church,South,South,1818-1824 Bainbridge St.,Philadelphia,PA,19146,church,church,"1900, Edwin Gilbert of Gilbert & Reid",1900,39.942257,-75.161512,Edwin Gilbert of Gilbert & Reid,,
AAHS_431,YWCA - Southwest-Belmont Branch,South,South,1607-15 Catharine St.,Philadelphia,PA,19146,young women's Christian association,young women's Christian association,"ca. 1922, Erskine, Morris",1922,39.936955,-75.142769,"Erskine, Morris",,
AAHS_334,Shiloh Baptist Church #3 / Church of the Holy Apostles,South,South,2040 Christian St.,Philadelphia,PA,19146,church,church,"1868-1870, Fraser, Furness & Hewitt; alterations, 1890, George W. Hewitt",1868;1870;1890,39.941156,-75.17749,"Fraser, Furness & Hewitt;George W. Hewitt",http://www.preservationalliance.com/images/aia/2040ChristianSt.jpg,http://www.preservationalliance.com/images/aia/2040ChristianSt.jpg
AAHS_162,Harrison Day Nursery,South,South,1839-1843 Ellsworth St.,Philadelphia,PA,19146,day care,day care,"1898, Furness, Evans and Co.",1898,39.933044,-75.146626,"Furness, Evans and Co.",,
AAHS_432,Zion A.M.E. Church,South,South,1600 S. 21st St.,Philadelphia,PA,19145,church,church,"1925-1928, George E. Savage",1925;1928,39.931847,-75.180092,George E. Savage,,
AAHS_349,St. Martha's House / Houston Community Center,South,South,2029 S. 8th St.,Philadelphia,PA,19148,settlement house,settlement house,"ca. 1914, Hastings Brockie",1914,39.923225,-75.159555,Hastings Brockie,,
AAHS_350,St. Mary Chapel Building,South,South,1831-1835 Bainbridge St.,Philadelphia,PA,19146,church,church,"1897, Hazlehurst & Huckel",1897,39.942257,-75.161512,Hazlehurst & Huckel,,
AAHS_403,Varick Memorial Church Site,South,South,763 S. 19th St.,Philadelphia,PA,19146,church,church,"1889, Hazlehurst & Huckel",1889,39.942029,-75.173852,Hazlehurst & Huckel,,
AAHS_134,Friendship Baptist Church / 18th Street Baptist Church / 18th Street Methodist Episcopal Church,South,South,1730 Wharton St.,Philadelphia,PA,19146,church,church,"1885-1888, J. Franklin Stuckert",1885;1888,39.934777,-75.173805,J. Franklin Stuckert,,
AAHS_66,Church of the Crucifixion Building and Parish House,South,South,620 S. 8th St.,Philadelphia,PA,19147,church,church,"1883, Pursell & Fry; 1902, Isaac Pursell and Duhring, Okie & Ziegler",1883;1902,39.9449844,-75.1671013,Pursell & Fry; Isaac Pursell and Duhring;Okie & Ziegler,http://www.preservationalliance.com/images/aia/620S8thSt.jpg,http://www.preservationalliance.com/images/aia/620S8thSt.jpg
AAHS_375,Tasker Street Baptist Church / Metropolitan Baptist Church,South,South,2010 Tasker St.,Philadelphia,PA,19145,church,church,"ca. 1900, S. Bythewood; alterations, 1928 and 1940, Richard R. Neely",1900;1928;1940,39.930982,-75.172246,S. Bythewood;Richard R. Neely,,
